0,7388,1
0,5744,1
0,5835,34
0,3647,15
1,4232,136
1,341,41
1,16544,34
2,2186,32
2,16139,3
3,18161,18
3,574,17
3,160,19
3,17737,18
4,18075,29
4,394,12
4,17845,13
5,162,23
5,619,20
5,96,10
5,17848,13
6,400,12
7,9874,34
7,4507,6
8,1560,45
9,4981,6
9,3879,10
10,18077,22
10,165,4
10,17944,10
11,18078,22
11,1431,44
11,289,27
12,12987,26
12,9682,19
12,9062,36
13,18118,4
14,14188,14
14,9002,3
14,123,4
14,175,40
15,575,12
15,17709,19
15,1328,10
16,8184,21
16,14415,8
16,14331,6
17,17241,14
17,7076,17
17,895,13
18,69,29
19,4814,47
19,10187,45
20,17867,13
20,873,41
20,881,2
21,18243,5
21,911,11
22,18140,20
22,463,13
22,77,20
22,17797,16
23,18186,20
23,557,16
23,137,20
23,17829,15
24,18142,20
24,464,13
24,79,20
24,17830,15
25,139,43
25,513,24
25,4867,4
26,7365,5
26,12873,688
27,327,21
27,429,11
27,17042,39
28,1553,145
28,14821,127
28,7758,48
29,17893,39
29,866,68
29,15478,229
30,14815,6
30,15185,5
31,376,22
31,273,8
31,754,1
32,192,4
32,18063,7
33,359,19
33,17724,21
34,8960,63
34,569,135
34,35,140
34,13916,134
35,2260,67
35,11284,142
36,7496,7
36,18256,1
37,383,10
37,17839,15
37,17771,17
38,280,27
38,18197,7
39,495,44
39,16906,68
39,17535,62
40,9055,5
40,9100,1
40,12015,9
41,6728,204
41,90,73
41,18261,27
42,44,35
42,91,107
42,13415,151
43,18204,181
43,44,34
43,13375,152
44,6732,204
45,16313,61
46,18074,33
46,344,9
46,343,49
46,17939,12
47,12439,10
47,9750,18
47,4395,12
48,2979,1
48,3618,14
49,18166,20
49,409,10
49,290,28
49,18029,10
50,293,8
51,450,12
52,7011,33
52,1348,20
53,7990,8
53,2786,11
53,7990,8
54,1002,30
54,14874,9
55,11133,9
55,119,15
55,362,10
56,12127,12
56,16623,17
56,8691,5
57,1187,64
57,1528,42
57,17989,10
58,8583,17
58,18004,26
58,6444,35
59,5048,15
59,1382,15
59,17518,21
60,17700,76
60,17788,40
61,130,17
61,313,7
61,129,18
61,17865,14
62,550,15
63,5695,46
64,690,119
64,17324,179
64,10681,255
65,933,25
65,15902,76
66,67,17
66,424,10
66,17707,20
66,11362,35
67,256,6
67,18092,7
68,257,6
68,133,29
68,17957,11
69,316,7
69,18234,3
70,71,20
70,1151,31
70,181,22
70,16703,50
71,1094,29
72,2739,52
72,9736,180
73,17340,64
73,15178,3
74,4870,16
74,3660,49
74,5491,42
75,9869,31
75,2676,15
75,7104,15
76,602,16
76,217,20
76,17921,13
76,911,4
77,603,16
77,218,20
77,17875,15
78,18141,22
78,138,17
78,17877,14
79,219,20
79,17923,13
80,18244,23
80,558,15
80,220,19
80,17878,14
81,17925,50
81,17615,25
81,10278,104
82,2612,172
82,4234,270
83,190,3
83,17881,17
83,1738,18
84,17770,20
84,12849,31
85,5495,35
85,9842,51
86,569,5
86,145,119
86,9802,267
87,386,29
87,2587,77
87,18115,7
88,435,10
88,18200,4
89,7903,13
89,4426,44
89,3051,69
90,91,69
91,6730,202
91,13459,151
92,5906,11
92,13972,3
92,12868,7
93,2861,28
93,17054,73
93,8399,77
93,13096,81
94,345,8
94,344,34
94,18160,6
95,18211,14
95,12838,7
95,235,20
95,17846,16
96,657,17
96,161,21
96,17777,19
97,18113,39
97,440,11
97,478,51
97,18021,11
98,532,14
99,3239,10
100,11755,53
100,4521,1
100,10210,1
100,9279,30
101,8797,13
101,14985,24
101,12882,5
101,13888,8
102,12971,13
102,14501,11
102,3016,14
103,1475,95
103,2053,76
103,17500,69
104,6553,8
104,4071,8
105,106,6
106,484,12
106,291,26
106,17986,12
107,18168,12
108,18080,33
108,486,12
108,292,26
108,17945,15
109,583,58
109,18081,10
109,449,10
110,2272,66
110,13334,155
111,13708,3
111,117,1
112,17320,32
112,201,11
112,626,48
112,18215,11
113,13896,2
113,336,19
113,10917,11
114,4686,175
114,15405,28
114,9412,16
115,14267,11
115,15093,12
116,10588,18
116,118,9
116,360,7
117,120,50
118,15709,197
118,9033,69
118,15109,100
119,732,18
119,174,17
120,9616,5
120,17866,9
120,121,27
121,16726,5
121,9677,45
121,10814,14
122,11133,12
122,595,19
122,124,11
123,363,43
123,1342,74
123,307,7
123,17169,79
124,9198,13
124,493,11
124,175,32
125,3058,8
125,1406,9
125,7232,31
126,11138,52
126,11866,52
126,13164,62
127,17090,18
128,10863,24
129,312,6
129,365,20
129,18043,12
130,209,10
130,254,4
130,18086,10
131,132,21
131,15902,44
132,7322,67
132,1446,38
132,15075,102
133,500,11
133,17956,13
134,9674,10
134,9299,14
134,9137,7
135,16130,2
135,16078,10
136,9157,37
136,568,13
136,16712,40
136,1064,22
137,644,16
137,262,19
137,17922,14
138,263,22
138,17964,13
139,18187,25
139,324,22
140,325,48
140,559,13
140,8050,33
141,13543,36
141,18028,10
142,467,10
142,329,69
142,18065,10
143,330,6
144,11143,270
144,195,70
144,145,20
145,1839,27
146,6139,24
146,9427,36
147,6803,1
148,149,136
148,15141,100
